,year,semel_mosad,shichva_x,subject_id,score,pikuach,migzar,rashut,ses_mosad_cat_yh
0,2008,110098,5,H,508.0,1,1,2600000,1.0
47,2008,110098,5,M,522.0,1,1,2600000,1.0
94,2008,110106,5,E,537.0,1,1,30007,2.0
141,2008,110205,5,E,568.0,1,1,30007,2.0
180,2008,110270,5,H,511.0,1,1,30007,2.0
227,2008,110270,5,M,516.0,1,1,30007,2.0
274,2008,110320,5,H,458.0,1,1,30007,3.0
321,2008,110320,5,M,446.0,1,1,30007,3.0
368,2008,110445,5,H,491.0,2,1,30007,3.0
407,2008,110445,5,M,468.0,2,1,30007,3.0
446,2008,110486,5,E,463.0,2,1,30007,2.0
493,2008,110726,5,H,525.0,2,1,2600000,1.0
540,2008,110726,5,M,520.0,2,1,2600000,1.0
587,2008,110734,5,H,516.0,1,1,2600000,1.0
634,2008,110734,5,M,522.0,1,1,2600000,1.0
681,2008,111062,5,H,502.0,1,1,30007,2.0
728,2008,111062,5,M,512.0,1,1,30007,2.0
775,2008,111096,5,H,501.0,1,1,2600000,1.0
822,2008,111096,5,M,490.0,1,1,2600000,1.0
869,2008,111112,5,E,555.0,1,1,30007,2.0
916,2008,111120,5,H,516.0,1,1,30007,2.0
963,2008,111120,5,M,591.0,1,1,30007,2.0
1010,2008,111179,5,E,502.0,1,1,26104,3.0
1057,2008,111195,5,H,505.0,2,1,36111,2.0
1104,2008,111195,5,M,537.0,2,1,36111,2.0
1151,2008,111203,5,E,428.0,1,1,30007,3.0
1198,2008,111328,5,E,507.0,2,1,7600000,2.0
1282,2008,111328,8,E,562.0,2,1,7600000,2.0
1366,2008,111328,8,S,524.0,2,1,7600000,2.0
1450,2008,111369,5,E,518.0,1,1,10157,2.0
1497,2008,111393,5,H,525.0,2,1,30007,2.0
1581,2008,111393,5,M,536.0,2,1,30007,2.0
1665,2008,111393,8,H,513.0,2,1,30007,2.0
1749,2008,111393,8,M,561.0,2,1,30007,2.0
1833,2008,111450,5,H,495.0,1,1,36111,3.0
1917,2008,111450,5,M,474.0,1,1,36111,3.0
2001,2008,111450,8,H,538.0,1,1,36111,3.0
2085,2008,111450,8,M,541.0,1,1,36111,3.0
2169,2008,111500,5,E,485.0,1,1,30007,2.0
2216,2008,111716,5,E,524.0,2,1,36160,3.0
2263,2008,111849,5,E,425.0,2,1,35741,2.0
2347,2008,111849,8,E,492.0,2,1,35741,2.0
2431,2008,111849,8,S,487.0,2,1,35741,2.0
2515,2008,111864,5,H,519.0,2,1,30007,2.0
